CNPJ_FUNDO;DT_REG;CLASSE;DT_INI_CLASSE;DT_FIM_CLASSE
00.824.658/0001-18;2005-02-14;Fundo de Renda Fixa;2005-01-28;
00.824.681/0001-02;2005-02-14;Fundo Referenciado;2005-01-31;
00.824.718/0001-00;2005-02-14;Fundo de Renda Fixa;2005-02-01;2007-01-29
00.824.718/0001-00;2005-02-14;Fundo de Curto Prazo;2007-01-29;
00.825.073/0001-12;2005-02-10;Fundo Referenciado;2005-01-31;2016-06-15
00.825.073/0001-12;2005-02-10;Fundo de Renda Fixa;2016-06-15;
00.825.076/0001-56;2005-02-10;Fundo de Curto Prazo;2005-01-31;2016-06-15
00.825.076/0001-56;2005-02-10;Fundo de Renda Fixa;2016-06-15;
00.825.077/0001-09;2005-02-10;Fundo de Renda Fixa;2005-01-31;
00.826.365/0001-70;2005-03-18;Fundo Multimercado;2005-03-09;
00.826.386/0001-95;2005-03-16;Fundo Referenciado;2005-03-07;2016-06-08
00.826.386/0001-95;2005-03-16;Fundo de Renda Fixa;2016-06-08;
00.826.397/0001-75;2005-03-17;Fundo de Renda Fixa;2005-03-08;
00.826.401/0001-03;2005-04-08;Fundo de Renda Fixa;2005-03-31;
00.826.418/0001-52;2005-03-16;Fundo Referenciado;2005-03-07;
00.826.435/0001-90;2005-05-27;Fundo Referenciado;2005-04-01;
00.826.437/0001-89;2005-05-27;Fundo Referenciado;2005-04-26;
00.826.444/0001-80;2005-05-27;Fundo Multimercado;2005-04-26;2005-10-03
00.826.444/0001-80;2005-05-27;Fundo Referenciado;2005-10-03;
00.826.450/0001-38;2005-05-27;Fundo Multimercado;2005-04-26;2005-10-03
00.826.450/0001-38;2005-05-27;Fundo Referenciado;2005-10-03;
00.826.454/0001-16;2005-05-27;Fundo Referenciado;2005-04-01;
00.826.600/0001-03;2005-02-11;Fundo de Curto Prazo;2005-01-27;2016-05-20
00.826.600/0001-03;2005-02-11;Fundo de Renda Fixa;2016-05-20;
00.826.901/0001-37;2005-03-29;Fundo Referenciado;2005-03-15;2016-05-17
00.826.901/0001-37;2005-03-29;Fundo de Renda Fixa;2016-05-17;
00.826.903/0001-26;2005-04-05;Fundo Multimercado;2005-03-21;
00.826.907/0001-04;2005-03-17;Fundo de Renda Fixa;2005-03-14;2008-10-14
00.826.907/0001-04;2005-03-17;Fundo Referenciado;2008-10-14;2016-01-20
00.826.907/0001-04;2005-03-17;Fundo de Renda Fixa;2016-01-20;
00.826.910/0001-28;2005-03-17;Fundo de Renda Fixa;2005-03-14;2008-10-20
00.826.910/0001-28;2005-03-17;Fundo Referenciado;2008-10-20;
00.826.911/0001-72;2005-02-28;Fundo Referenciado;2005-02-24;2016-03-02
00.826.911/0001-72;2005-02-28;Fundo de Renda Fixa;2016-03-02;
00.826.912/0001-17;2005-02-28;Fundo Referenciado;2005-02-24;
00.827.171/0001-99;2005-03-28;Fundo Multimercado;2005-03-14;
00.827.705/0001-87;2005-03-01;Fundo Referenciado;2005-02-01;2016-06-01
00.827.705/0001-87;2005-03-01;Fundo de Renda Fixa;2016-06-01;
00.827.714/0001-78;2005-03-14;Fundo Cambial;2005-03-11;
00.827.716/0001-67;2005-03-14;Fundo Multimercado;2005-03-11;
00.828.035/0001-13;2005-03-14;Fundo de Renda Fixa;2005-03-01;2022-02-21
00.828.035/0001-13;2005-03-14;Fundo Multimercado;2022-02-21;
00.828.371/0001-66;2005-04-11;Fundo de Renda Fixa;2005-03-31;2015-02-27
00.828.371/0001-66;2005-04-11;Fundo Referenciado;2015-02-27;2016-05-30
00.828.371/0001-66;2005-04-11;Fundo de Renda Fixa;2016-05-30;
00.828.941/0001-18;2005-03-14;Fundo Referenciado;2005-03-11;2016-01-18
00.828.941/0001-18;2005-03-14;Fundo de Renda Fixa;2016-01-18;
00.829.163/0001-81;2005-03-09;Fundo Multimercado;2005-02-25;
00.829.274/0001-98;2005-04-08;Fundo Referenciado;2005-03-31;
00.829.277/0001-21;2005-03-16;Fundo Referenciado;2005-03-07;
00.829.280/0001-45;2005-03-23;Fundo de Renda Fixa;2005-03-10;
00.829.282/0001-34;2005-03-16;Fundo Referenciado;2005-03-07;2016-03-30
00.829.282/0001-34;2005-03-16;Fundo de Renda Fixa;2016-03-30;
00.829.285/0001-78;2005-03-21;Fundo de Renda Fixa;2005-03-10;
00.829.288/0001-01;2005-03-16;Fundo Referenciado;2005-03-07;2016-02-04
00.829.288/0001-01;2005-03-16;Fundo de Renda Fixa;2016-02-04;
00.829.292/0001-70;2005-04-05;Fundo Referenciado;2005-03-24;2016-01-21
00.829.292/0001-70;2005-04-05;Fundo de Renda Fixa;2016-01-21;
00.829.364/0001-89;2005-04-27;Fundo Referenciado;2005-04-12;2016-05-25
00.829.364/0001-89;2005-04-27;Fundo de Renda Fixa;2016-05-25;
00.829.568/0001-10;2005-03-16;Fundo Multimercado;2005-03-04;
00.829.575/0001-11;2005-11-23;Fundo Multimercado;2005-11-22;
00.830.599/0001-90;2005-03-10;Fundo de Renda Fixa;2005-03-10;2011-02-24
00.830.599/0001-90;2005-03-10;Fundo Referenciado;2011-02-24;2016-05-23
00.830.599/0001-90;2005-03-10;Fundo de Renda Fixa;2016-05-23;
00.831.901/0001-25;2005-02-04;Fundo de Renda Fixa;2005-01-28;
00.832.018/0001-50;2005-07-28;Fundo de Renda Fixa;2005-07-20;
